10,10,100.00
10,20,100.00
10,30,100.00
10,40,98.58
10,50,83.80
10,60,69.61
10,70,59.62
10,80,53.29
10,90,46.19
10,100,41.87
10,110,38.52
10,120,34.92
10,130,31.92
10,140,30.31
10,150,28.31
10,160,26.56
10,170,24.75
10,180,23.48
10,190,21.96
10,200,21.82
20,10,100.00
20,20,100.00
20,30,100.00
20,40,98.42
20,50,81.87
20,60,70.33
20,70,59.52
20,80,53.00
20,90,46.59
20,100,41.67
20,110,38.82
20,120,34.81
20,130,32.85
20,140,30.07
20,150,27.82
20,160,25.60
20,170,24.12
20,180,22.96
20,190,22.09
20,200,21.12
30,10,100.00
30,20,100.00
30,30,100.00
30,40,97.92
30,50,82.33
30,60,67.94
30,70,58.81
30,80,52.25
30,90,46.67
30,100,41.47
30,110,37.39
30,120,33.86
30,130,31.97
30,140,29.45
30,150,27.96
30,160,26.04
30,170,24.31
30,180,23.00
30,190,21.72
30,200,20.55
40,10,100.00
40,20,100.00
40,30,100.00
40,40,97.50
40,50,82.40
40,60,68.22
40,70,60.43
40,80,52.33
40,90,45.70
40,100,41.73
40,110,37.73
40,120,34.00
40,130,31.67
40,140,29.38
40,150,27.89
40,160,25.81
40,170,24.84
40,180,22.81
40,190,21.79
40,200,20.52
50,10,100.00
50,20,100.00
50,30,100.00
50,40,98.67
50,50,81.80
50,60,69.83
50,70,58.57
50,80,51.38
50,90,44.67
50,100,41.47
50,110,37.82
50,120,34.22
50,130,31.67
50,140,29.52
50,150,27.00
50,160,24.96
50,170,23.88
50,180,22.48
50,190,21.68
50,200,20.63
60,10,100.00
60,20,100.00
60,30,100.00
60,40,98.17
60,50,84.93
60,60,67.50
60,70,57.81
60,80,50.83
60,90,45.11
60,100,39.80
60,110,37.48
60,120,32.53
60,130,31.38
60,140,28.93
60,150,27.24
60,160,24.81
60,170,23.73
60,180,21.94
60,190,21.00
60,200,20.13
70,10,100.00
70,20,100.00
70,30,100.00
70,40,98.08
70,50,82.27
70,60,67.06
70,70,58.38
70,80,49.79
70,90,45.30
70,100,41.13
70,110,37.24
70,120,33.19
70,130,31.08
70,140,29.38
70,150,26.80
70,160,24.85
70,170,24.25
70,180,22.65
70,190,21.14
70,200,19.75
80,10,100.00
80,20,100.00
80,30,100.00
80,40,96.33
80,50,81.33
80,60,68.44
80,70,54.90
80,80,50.42
80,90,44.22
80,100,40.93
80,110,36.27
80,120,33.75
80,130,31.10
80,140,28.02
80,150,26.67
80,160,25.10
80,170,23.80
80,180,22.11
80,190,21.86
80,200,20.15
90,10,100.00
90,20,100.00
90,30,100.00
90,40,97.33
90,50,79.80
90,60,65.28
90,70,57.19
90,80,51.46
90,90,44.56
90,100,42.10
90,110,36.70
90,120,33.50
90,130,31.03
90,140,28.14
90,150,27.38
90,160,25.31
90,170,23.69
90,180,22.44
90,190,20.77
90,200,19.80
100,10,100.00
100,20,100.00
100,30,100.00
100,40,96.50
100,50,80.13
100,60,68.17
100,70,56.43
100,80,49.25
100,90,43.74
100,100,40.27
100,110,36.42
100,120,33.89
100,130,31.08
100,140,27.88
100,150,26.51
100,160,24.77
100,170,23.22
100,180,22.63
100,190,20.58
100,200,20.10
110,10,100.00
110,20,100.00
110,30,100.00
110,40,96.25
110,50,78.87
110,60,66.33
110,70,56.43
110,80,49.04
110,90,44.15
110,100,39.53
110,110,35.30
110,120,33.39
110,130,30.49
110,140,27.38
110,150,26.38
