40,10,0,1691556075.368995,1691556075.3704338,0.0014388561248779297
40,10,1,1691556075.474937,1691556075.4752522,0.0003151893615722656
40,10,2,1691556075.581569,1691556075.5818388,0.00026988983154296875
40,10,3,1691556075.6829417,1691556075.683289,0.00034737586975097656
40,10,4,1691556075.784964,1691556075.7862844,0.0013203620910644531
40,10,5,1691556075.8898435,1691556075.890111,0.0002675056457519531
40,10,6,1691556076.0007036,1691556076.001801,0.0010974407196044922
40,10,7,1691556076.1028173,1691556076.103285,0.0004677772521972656
40,10,8,1691556076.2046707,1691556076.2059114,0.0012407302856445312
40,10,9,1691556076.3195126,1691556076.3201814,0.0006687641143798828
40,10,10,1691556076.4225519,1691556076.4232764,0.0007245540618896484
40,10,11,1691556076.5261633,1691556076.5265307,0.0003674030303955078
40,10,12,1691556076.638808,1691556076.6392374,0.00042939186096191406
40,10,13,1691556076.7455225,1691556076.7459047,0.0003821849822998047
40,10,14,1691556076.8546505,1691556076.8551903,0.0005397796630859375
40,10,15,1691556076.9568295,1691556076.9572039,0.0003743171691894531
40,10,16,1691556077.0678995,1691556077.0683713,0.0004718303680419922
40,10,17,1691556077.17134,1691556077.1720746,0.0007345676422119141
40,10,18,1691556077.2760227,1691556077.2765517,0.0005290508270263672
40,10,19,1691556077.3783624,1691556077.3790445,0.0006821155548095703
40,10,20,1691556077.482236,1691556077.4832547,0.0010187625885009766
40,10,21,1691556077.585915,1691556077.5864482,0.0005331039428710938
40,10,22,1691556077.6877656,1691556077.688002,0.00023651123046875
40,10,23,1691556077.7897885,1691556077.7903996,0.0006110668182373047
40,10,24,1691556077.892685,1691556077.893132,0.0004470348358154297
40,10,25,1691556077.9943893,1691556077.9948168,0.00042748451232910156
40,10,26,1691556078.0996265,1691556078.1005723,0.0009458065032958984
40,10,27,1691556078.201796,1691556078.2023351,0.0005390644073486328
40,10,28,1691556078.3066123,1691556078.3070433,0.000431060791015625
40,10,29,1691556078.4103642,1691556078.410886,0.0005218982696533203
40,10,30,1691556078.5139909,1691556078.5143433,0.0003523826599121094
40,10,31,1691556078.6190238,1691556078.6194136,0.0003898143768310547
40,10,32,1691556078.7273166,1691556078.7278955,0.0005788803100585938
40,10,33,1691556078.8338118,1691556078.8341508,0.0003390312194824219
40,10,34,1691556078.9354932,1691556078.9357243,0.00023102760314941406
40,10,35,1691556079.0402136,1691556079.0406926,0.00047898292541503906
40,10,36,1691556079.1432545,1691556079.143478,0.00022339820861816406
40,10,37,1691556079.2447019,1691556079.2454662,0.0007643699645996094
40,10,38,1691556079.370381,1691556079.3704543,7.319450378417969e-05
40,10,39,1691556079.499092,1691556079.4994948,0.00040268898010253906
40,10,40,1691556079.6145186,1691556079.6152232,0.0007045269012451172
40,10,41,1691556079.7209299,1691556079.7221131,0.0011832714080810547
40,10,42,1691556079.8261073,1691556079.8272943,0.0011870861053466797
40,10,43,1691556079.94048,1691556079.9410746,0.0005946159362792969
40,10,44,1691556080.042718,1691556080.0432994,0.0005815029144287109
40,10,45,1691556080.1560874,1691556080.156746,0.0006585121154785156
40,10,46,1691556080.2573807,1691556080.257861,0.0004801750183105469
40,10,47,1691556080.3828692,1691556080.3836653,0.0007960796356201172
40,10,48,1691556080.4853642,1691556080.485682,0.0003178119659423828
40,10,49,1691556080.5900557,1691556080.5906396,0.0005838871002197266
40,10,50,1691556080.6936564,1691556080.694218,0.0005614757537841797
40,10,51,1691556080.799547,1691556080.8002377,0.0006906986236572266
40,10,52,1691556080.9032161,1691556080.9039514,0.0007352828979492188
40,10,53,1691556081.005579,1691556081.005823,0.00024390220642089844
40,10,54,1691556081.1138983,1691556081.1142874,0.00038909912109375
40,10,55,1691556081.216455,1691556081.2176907,0.0012357234954833984
40,10,56,1691556081.3195677,1691556081.3200638,0.0004961490631103516
40,10,57,1691556081.4335916,1691556081.433932,0.00034046173095703125
40,10,58,1691556081.5544255,1691556081.5548491,0.00042366981506347656
40,10,59,1691556081.6554327,1691556081.656059,0.0006263256072998047
40,10,60,1691556081.7595053,1691556081.759857,0.0003516674041748047
40,10,61,1691556081.8815384,1691556081.8819563,0.00041794776916503906
40,10,62,1691556081.982478,1691556081.982974,0.0004961490631103516
40,10,63,1691556082.0878792,1691556082.0885334,0.0006542205810546875
40,10,64,1691556082.1899915,1691556082.190634,0.0006425380706787109
40,10,65,1691556082.2921565,1691556082.292993,0.0008366107940673828
40,10,66,1691556082.3941057,1691556082.3947291,0.0006234645843505859
40,10,67,1691556082.5082395,1691556082.5086744,0.00043487548828125
40,10,68,1691556082.642904,1691556082.6442273,0.0013232231140136719
40,10,69,1691556082.764577,1691556082.7653263,0.0007493495941162109
40,10,70,1691556082.866049,1691556082.8665211,0.00047206878662109375
40,10,71,1691556082.9694834,1691556082.9697042,0.00022077560424804688
40,10,72,1691556083.071625,1691556083.0725543,0.0009293556213378906
40,10,73,1691556083.178089,1691556083.1786482,0.0005593299865722656
40,10,74,1691556083.2845285,1691556083.285321,0.0007925033569335938
40,10,75,1691556083.4556255,1691556083.4559567,0.0003311634063720703
40,10,76,1691556083.5567806,1691556083.5575376,0.0007569789886474609
40,10,77,1691556083.6580815,1691556083.658847,0.0007655620574951172
40,10,78,1691556083.7711365,1691556083.7716768,0.0005402565002441406
40,10,79,1691556083.8721907,1691556083.8727934,0.00060272216796875
40,10,80,1691556084.0355203,1691556084.036284,0.0007636547088623047
40,10,81,1691556084.137425,1691556084.1378546,0.0004296302795410156
40,10,82,1691556084.2921817,1691556084.2934325,0.0012507438659667969
